 Meal Time,Food Name,Calories,protein,carbs,fats,ingredients
Lunch,Tex Mex Turkey Enchiladas,260,24,14,13," Cheese Monterey Jack and Cheddar Pre-Shredded, Oil Canola, Olives Black Pitted Sliced Drained, Onions Yellow Fresh Chopped Fine, Sauce Enchilada Red Canned, Tortilla Corn Yellow 6"", Turkey Breast Skin On Petite Antibiotic Free RTC "
Lunch,Mexican Lasagna,210,9,28,8," Beans Refried Vegetarian Canned, Cheese Pepper Jack Loaf Shredded, Cilantro Fresh Chopped, Oil Canola, Onions Yellow Fresh Diced, Peppers Chili Green Diced Canned Drained, Salt Kosher, Sauce Enchilada Red Canned, Tortilla Corn White 6"" "
Lunch,Spanish Rice,90,2,15,25," Cilantro Fresh Chopped, Garlic Cloves Peeled Fresh Chopped, Oil Canola, Onions Yellow Fresh Diced, Peppers Bell Green Pre-Diced 1/2"" Fresh, Rice White Long Grain Parboiled Dry, Salt Kosher, Spice Pepper Black Ground Fine, Tomatoes Diced in Juice No Added Salt Ang Mia Canned, Water "
Lunch,Roasted Peppers w/ Garlic and Herbs,160,1,7,14," Basil Fresh Chopped, Garlic Cloves Peeled Fresh Minced, Oil Olive Extra Virgin, Peppers Bell Green Large Fresh, Peppers Bell Red Fresh, Peppers Bell Yellow Fresh, Salt Kosher "
Lunch,Roasted Corn,110,3,20,3," Cilantro Fresh Chopped, Corn Whole Kernel Frozen, Garlic Cloves Peeled Fresh Minced, Oil Canola, Onions Green Scallion Each Fresh Sliced Thin, Onions Red Fresh Diced, Peppers Bell Red Fresh Diced, Salt Kosher, Spice Cumin Ground, Spice Pepper Black Ground Coarse "
Lunch,Grilled Turkey Reuben Sandwich,420,25,38,18," Bread Rye Seeded Loaf Sliced, Cheese Swiss Pre-Sliced .75 oz, Oil Canola, Salad Dressing 1000 Island Kraft Bulk, Sauerkraut Canned Drained, Turkey Breast Skinless Reduced Sodium FC "
Lunch,Grilled Chicken Sandwich,290,28,26,9," Bun Hamburger Wheat 4"", Chicken Breast Boneless Skinless NAE 4 oz Raw, Lettuce Leaf Individual Leaf Fresh, Oil Canola, Tomatoes Fresh Each Slice "
Lunch,Tater Tots,170,2,21,9, Potatoes Tater Puffs Frozen 
Lunch,Grilled Vegetables,25,2,5,0," Asparagus Fresh, Mushrooms Portobello Fresh, Oil Canola, Peppers Bell Red Fresh, Salt Kosher, Spice Pepper Black Ground, Squash Yellow Fresh Bias Cut Halved 1/2"", Squash Zucchini Fresh Bias Cut Halved 1/2"" "
Lunch,Tartar Sauce,150,0,1,16, Sauce Tartar Bulk 
