Meal Time,Food Name,Calories,protein,carbs,fats,ingredients
Breakfast,Scrambled Eggs,200,14,1,15," Egg Liquid Whole w/Citric Acid Includes Cage Free Fresh, Oil Canola "
Breakfast,Scrambled Eggs with Sausage,370,20,3,30," Butter Unsalted, Cilantro Fresh Chopped, Cream Cheese Bulk, Cream Whipping Heavy, Egg Fresh, Garlic Cloves Peeled Fresh Minced, Milk Whole, Oil Canola, Sausage Andouille Smoked FC "
Breakfast,Cinnamon Roll Pancakes,280,6,50,6," Butter Unsalted, Cream Cheese Bulk, Flavoring Extract Vanilla Pure, Milk Whole, Mix Pancake Hampton Creek, Oil Cooking Spray, Salt Kosher, Spice Cinnamon Ground, Sugar Powdered, Water "
Breakfast,Sausage Link,290,9,0,27, Sausage Link Pork Skinless Lower Sodium FC 0.8 oz Frozen 
Breakfast,Fried Hash Brown Patty,170,1,14,13, Potatoes Hash Brown Patties 2.25 oz Frozen 
Breakfast,Apple Cinnamon Oatmeal,100,3,18,15," Apples Sliced Water Pack Canned Drained, Cereal Oatmeal Quick Dry, Salt Bulk, Spice Cinnamon Ground, Sugar Granulated, Water "
Breakfast,Blueberry Coffee Muffin ,140,2,27,3," Blueberries Unsweetened Frozen-IQF, Flour All Purpose, Mix Cake White, Spice Cinnamon Ground, Sugar Brown Light, Water "
Breakfast,Kidney Bean Stew with Sweet  Potatoes and Oranges,280,8,47,9," Beans Kidney Dark Red Low Sodium Canned Drained Rinsed, Garlic Cloves Peeled Fresh Minced, Ginger Root Fresh Minced, Oil Canola, Orange 113 Count  Fresh, Paste Tamarind, Salt Kosher, Seasoning Garam Masala, Spice Bay Leaf, Spice Cardamom Ground, Spice Cinnamon Ground, Spice Cloves Ground, Spice Coriander Ground, Spice Cumin Ground, Spice Cumin Seed, Spice Fennel Seed, Spice Fenugreek Powder, Spice Nutmeg Ground, Spice Oregano Dried Crumbled, Spice Paprika Smoked, Spice Pepper Black Ground, Spice Rosemary Dried, Spice Turmeric, Sweet Potatoes Fresh Peeled Diced 3/4"", Tomatoes Crushed No Added Salt Canned, Water "
Breakfast,Herb Roasted Mushrooms,35,2,2,25," Garlic Cloves Peeled Fresh Julienne Sliced, Mushrooms Button Fresh, Oil Olive Extra Virgin, Salt Kosher, Spice Pepper Black Ground, Thyme Fresh Sprig "
Breakfast,Cilantro Lime Brown Rice ,220,5,45,15," Cilantro Fresh Chopped, Juice Lime Fresh Pressed, Rice Brown Dry, Salt Kosher, Water "
Breakfast,Cubed Cantaloupe,20,0,5,0, Cantaloupe Medium Fresh Cubed 
Breakfast,Cubed Pineapple,40,0,11,0, Pineapple Fresh Cubed 
Breakfast,2% Greek Plain Yogurt,90,11,5,25, Yogurt Plain Greek 2% Fage Bulk 
Breakfast,Low Fat Vanilla Yogurt,100,6,16,15, Yogurt Vanilla Low Fat Parfait 64 oz Pouch 
Breakfast,Cubed Honeydew,20,0,5,0, Honeydew Melon Fresh 
Breakfast,Low Fat Strawberry Yogurt,110,5,21,15, Yogurt Strawberry Low Fat Bulk 
Breakfast,Banana,110,1,27,0, Banana Medium 100-120 Ct Fresh 
Breakfast,Apple,70,0,18,0, Apples Red Delicious 125 Count Fresh 
Breakfast,Orange,60,1,14,0, Orange 113 Count  Fresh 
Breakfast,Plain Bagel,290,8,63,1, Bagel Plain LaMarca 4 oz Fresh 
Breakfast,Udi's Plain Bagel,290,7,43,9, Bagel Plain Gluten Free Udi's 3.5 oz Frozen 
Breakfast,Oats 'n Honey Granola,20,0,3,5, Cereal Granola Oats 'n Honey Nature Valley Bulk 
Breakfast,"Cream Cheese, 1 oz",100,2,2,10,MILK. 
Breakfast,"Jelly, Mixed Fruit, .5 oz",40,0,10,0,None.  Manufacturer will not claim GF. 
Breakfast,Scrambled Egg,80,7,1,5," Egg Liquid Whole w/Citric Acid Includes Cage Free Fresh, Milk Skim, Oil Cooking Spray "
