Meal Time,Food Name,Calories,protein,carbs,fats,ingredients
Breakfast,Scrambled Eggs,200,14,1,15," Egg Liquid Whole w/Citric Acid Includes Cage Free Fresh, Oil Canola "
Breakfast,Scrambled Eggs with Sausage,370,20,3,30," Butter Unsalted, Cilantro Fresh Chopped, Cream Cheese Bulk, Cream Whipping Heavy, Egg Fresh, Garlic Cloves Peeled Fresh Minced, Milk Whole, Oil Canola, Sausage Andouille Smoked FC "
Breakfast,Cinnamon Roll Pancakes,280,6,50,6," Butter Unsalted, Cream Cheese Bulk, Flavoring Extract Vanilla Pure, Milk Whole, Mix Pancake Hampton Creek, Oil Cooking Spray, Salt Kosher, Spice Cinnamon Ground, Sugar Powdered, Water "
Breakfast,Sausage Link,290,9,0,27, Sausage Link Pork Skinless Lower Sodium FC 0.8 oz Frozen 
Breakfast,Fried Hash Brown Patty,170,1,14,13, Potatoes Hash Brown Patties 2.25 oz Frozen 
Breakfast,Apple Cinnamon Oatmeal,100,3,18,15," Apples Sliced Water Pack Canned Drained, Cereal Oatmeal Quick Dry, Salt Bulk, Spice Cinnamon Ground, Sugar Granulated, Water "
Breakfast,Kidney Bean Stew with Sweet  Potatoes and Oranges,280,8,47,9," Beans Kidney Dark Red Low Sodium Canned Drained Rinsed, Garlic Cloves Peeled Fresh Minced, Ginger Root Fresh Minced, Oil Canola, Orange 113 Count  Fresh, Paste Tamarind, Salt Kosher, Seasoning Garam Masala, Spice Bay Leaf, Spice Cardamom Ground, Spice Cinnamon Ground, Spice Cloves Ground, Spice Coriander Ground, Spice Cumin Ground, Spice Cumin Seed, Spice Fennel Seed, Spice Fenugreek Powder, Spice Nutmeg Ground, Spice Oregano Dried Crumbled, Spice Paprika Smoked, Spice Pepper Black Ground, Spice Rosemary Dried, Spice Turmeric, Sweet Potatoes Fresh Peeled Diced 3/4"", Tomatoes Crushed No Added Salt Canned, Water "
Breakfast,Herb Roasted Mushrooms,35,2,2,25," Garlic Cloves Peeled Fresh Julienne Sliced, Mushrooms Button Fresh, Oil Olive Extra Virgin, Salt Kosher, Spice Pepper Black Ground, Thyme Fresh Sprig "
Breakfast,Cilantro Lime Brown Rice ,220,5,45,15," Cilantro Fresh Chopped, Juice Lime Fresh Pressed, Rice Brown Dry, Salt Kosher, Water "
Breakfast,Blueberry Coffee Muffin ,140,2,27,3," Blueberries Unsweetened Frozen-IQF, Flour All Purpose, Mix Cake White, Spice Cinnamon Ground, Sugar Brown Light, Water "
Breakfast,Scrambled Egg,80,7,1,5," Egg Liquid Whole w/Citric Acid Includes Cage Free Fresh, Milk Skim, Oil Cooking Spray "
Breakfast,Chopped Broccoli ,10,1,2,0, Broccoli Fresh Chopped 
Breakfast,Sliced Mushrooms,0,0,0,0, Mushrooms Button Fresh Sliced 
Breakfast,Chopped Green Bell Pepper,0,0,0,0," Peppers Bell Green Fresh Pieces 1"" "
Breakfast,Chopped Tomatoes,0,0,1,0, Tomatoes Fresh Chopped 
Breakfast,Shredded Sharp Cheddar Cheese,60,3,0,45, Cheese Cheddar Sharp Loaf Shredded 
Breakfast,Scrambled Egg Whites,30,6,1,0," Egg Liquid Whites Includes Cage Free Pasteurized Fresh, Milk Skim, Oil Cooking Spray "
Breakfast, Diced Onions,0,0,1,0," Onions Yellow Fresh Small Diced 1/4"" "
Breakfast,Diced Ham,20,3,0,1, Pork Ham Buffet Boneless Smoked 
Breakfast,Chopped Spinach,0,0,0,0, Spinach Fresh Chopped 
Breakfast,Diced Bacon,45,3,0,35, Bacon Sliced Raw 18/22 Frozen 
Breakfast,Cubed Cantaloupe,20,0,5,0, Cantaloupe Medium Fresh Cubed 
Breakfast,Cubed Honeydew,20,0,5,0, Honeydew Melon Fresh 
Breakfast,Low Fat Vanilla Yogurt,100,6,16,15, Yogurt Vanilla Low Fat Parfait 64 oz Pouch 
